,BIIB
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],6.926406926406926
Equity Final [$],14967915.855989516
Equity Peak [$],17276272.314085446
Return [%],15.137814276842429
Buy & Hold Return [%],89.086669921875
Return (Ann.) [%],1.407763509146509
Volatility (Ann.) [%],8.365625656559322
Sharpe Ratio,0.16827952468118262
Sortino Ratio,0.2836906920960597
Calmar Ratio,0.052007988002843404
Max. Drawdown [%],-27.06821707983672
Avg. Drawdown [%],-7.813432735557005
Max. Drawdown Duration,2265 days 00:00:00
Avg. Drawdown Duration,427 days 00:00:00
# Trades,22
Win Rate [%],31.818181818181817
Best Trade [%],16.890942084234627
Worst Trade [%],-7.4487527635881845
Avg. Trade [%],0.6427773498788092
Max. Trade Duration,55 days 00:00:00
Avg. Trade Duration,11 days 00:00:00
Profit Factor,1.3817228613786356
Expectancy [%],0.8765960649739486
SQN,0.411310208125996
_strategy,Mean_Reversion_box3_4
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000              NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000              NaT
...                                 ...          ...              ...
2023-01-30 00:00:00-05:00  1.488566e+07     0.138375              NaT
2023-01-31 00:00:00-05:00  1.514387e+07     0.123429              NaT
2023-02-01 00:00:00-05:00  1.518031e+07     0.121320              NaT
2023-02-02 00:00:00-05:00  1.496792e+07     0.133614              NaT
2023-02-03 00:00:00-05:00  1.496792e+07     0.133614        2265 days

[2541 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0   38341       292      296  339.056765  327.455325 -4.448108e+05  -0.034217 2014-03-03 00:00:00-05:00 2014-03-07 00:00:00-05:00  4 days 00:00:00
1   39115       404      409  320.980676  347.589996  1.040824e+06   0.082900 2014-08-11 00:00:00-04:00 2014-08-18 00:00:00-04:00  7 days 00:00:00
2   41483       442      444  327.744176  318.907238 -3.665827e+05  -0.026963 2014-10-03 00:00:00-04:00 2014-10-07 00:00:00-04:00  4 days 00:00:00
3  -42977       482      483  307.823122  314.959102 -3.066830e+05  -0.023182 2014-12-01 00:00:00-05:00 2014-12-02 00:00:00-05:00  1 days 00:00:00
4   38299       505      523  337.413470  372.750000  1.353354e+06   0.104728 2015-01-05 00:00:00-05:00 2015-01-30 00:00:00-05:00 25 days 00:00:00
5  -44098       650      665  323.731245  269.049988  2.411334e+06   0.168909 2015-08-03 00:00:00-04:00 2015-08-24 00:00:00-04:00 21 days 00:00:00
6  -52324       681      682  318.920878  329.854381 -5.720846e+05  -0.034283 2015-09-16 00:00:00-04:00 2015-09-17 00:00:00-04:00  1 days 00:00:00
7  -58296       708      710  276.436010  289.808359 -7.795544e+05  -0.048374 2015-10-23 00:00:00-04:00 2015-10-27 00:00:00-04:00  4 days 00:00:00
8   55253       969      972  277.554000  312.000000  1.903245e+06   0.124106 2016-11-04 00:00:00-04:00 2016-11-09 00:00:00-05:00  5 days 01:00:00
9   54273       979      982  317.634000  307.628536 -5.430266e+05  -0.031500 2016-11-18 00:00:00-05:00 2016-11-23 00:00:00-05:00  5 days 00:00:00
10 -61695      1080     1084  270.617684  275.530129 -3.030733e+05  -0.018153 2017-04-18 00:00:00-04:00 2017-04-24 00:00:00-04:00  6 days 00:00:00
11  51285      1188     1190  319.638000  312.780018 -3.517116e+05  -0.021455 2017-09-20 00:00:00-04:00 2017-09-22 00:00:00-04:00  2 days 00:00:00
12 -53821      1365     1367  298.042735  305.174700 -3.838495e+05  -0.023929 2018-06-05 00:00:00-04:00 2018-06-07 00:00:00-04:00  2 days 00:00:00
13  46383      1438     1445  337.563795  355.088397  8.128436e+05   0.051915 2018-09-18 00:00:00-04:00 2018-09-27 00:00:00-04:00  9 days 00:00:00
14 -69955      1629     1630  235.438184  240.764815 -3.726245e+05  -0.022624 2019-06-24 00:00:00-04:00 2019-06-25 00:00:00-04:00  1 days 00:00:00
15 -57307      1928     1929  280.897071  287.597434 -3.839777e+05  -0.023853 2020-08-28 00:00:00-04:00 2020-08-31 00:00:00-04:00  3 days 00:00:00
16 -63281      1984     2020  248.312378  266.808553 -1.170456e+06  -0.074488 2020-11-17 00:00:00-05:00 2021-01-11 00:00:00-05:00 55 days 00:00:00
17 -54535      2069     2071  266.675571  275.841394 -4.998582e+05  -0.034371 2021-03-23 00:00:00-04:00 2021-03-25 00:00:00-04:00  2 days 00:00:00
18  36080      2130     2133  389.216882  367.482838 -7.841643e+05  -0.055840 2021-06-18 00:00:00-04:00 2021-06-23 00:00:00-04:00  5 days 00:00:00
19 -55956      2257     2264  236.955133  244.532904 -4.240217e+05  -0.031980 2021-12-17 00:00:00-05:00 2021-12-29 00:00:00-05:00 12 days 00:00:00
20  49670      2459     2485  258.405795  300.109985  2.071447e+06   0.161390 2022-10-07 00:00:00-04:00 2022-11-14 00:00:00-05:00 38 days 01:00:00
21  52058      2530     2539  286.341529  287.519989  6.134827e+04   0.004116 2023-01-20 00:00:00-05:00 2023-02-02 00:00:00-05:00 13 days 00:00:00"
