,GILD
Start,2013-01-02 00:00:00-05:00
End,2023-02-08 00:00:00-05:00
Duration,3689 days 00:00:00
Exposure Time [%],20.16509433962264
Equity Final [$],15672230.880771682
Equity Peak [$],18449207.946761243
Return [%],20.555622159782168
Buy & Hold Return [%],128.2707193057637
Return (Ann.) [%],1.869026271387253
Volatility (Ann.) [%],10.401080477742749
Sharpe Ratio,0.17969539562613504
Sortino Ratio,0.26678505002431196
Calmar Ratio,0.07127110285879563
Max. Drawdown [%],-26.224180578350552
Avg. Drawdown [%],-5.335061722728185
Max. Drawdown Duration,1624 days 00:00:00
Avg. Drawdown Duration,180 days 00:00:00
# Trades,25
Win Rate [%],36.0
Best Trade [%],14.101178530638514
Worst Trade [%],-4.20841683366735
Avg. Trade [%],0.7505675044069626
Max. Trade Duration,128 days 00:00:00
Avg. Trade Duration,29 days 00:00:00
Profit Factor,1.3819455768620745
Expectancy [%],0.9996455152237824
SQN,0.47369594513298535
_strategy,MeanReversion_withRACD
_equity_curve,"                                 Equity  DrawdownPct   DrawdownDuration
Date                                                                   
2013-01-02 00:00:00-05:00  1.300000e+07      0.00000                NaT
2013-01-03 00:00:00-05:00  1.300000e+07      0.00000                NaT
2013-01-04 00:00:00-05:00  1.300000e+07      0.00000                NaT
2013-01-07 00:00:00-05:00  1.300000e+07      0.00000                NaT
2013-01-08 00:00:00-05:00  1.300000e+07      0.00000                NaT
...                                 ...          ...                ...
2023-02-02 00:00:00-05:00  1.567223e+07      0.15052                NaT
2023-02-03 00:00:00-05:00  1.567223e+07      0.15052                NaT
2023-02-06 00:00:00-05:00  1.567223e+07      0.15052                NaT
2023-02-07 00:00:00-05:00  1.567223e+07      0.15052                NaT
2023-02-08 00:00:00-05:00  1.567223e+07      0.15052 1623 days 01:00:00

[2544 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice   ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime          Duration
0   228055       156      177   57.003779   64.080002  1.613768e+06   0.124136 2013-08-15 00:00:00-04:00 2013-09-16 00:00:00-04:00  32 days 00:00:00
1   245614       193      200   59.498761   66.505601  1.720978e+06   0.117764 2013-10-08 00:00:00-04:00 2013-10-17 00:00:00-04:00   9 days 00:00:00
2  -214683       332      334   76.087518   79.289598 -6.874321e+05  -0.042084 2014-04-29 00:00:00-04:00 2014-05-01 00:00:00-04:00   2 days 00:00:00
3   197646       360      379   79.168022   88.491202  1.842689e+06   0.117764 2014-06-09 00:00:00-04:00 2014-07-07 00:00:00-04:00  28 days 00:00:00
4   151178       626      644  115.690919  112.830002 -4.325077e+05  -0.024729 2015-06-29 00:00:00-04:00 2015-07-24 00:00:00-04:00  25 days 00:00:00
5   150876       644      645  113.055662  108.316802 -7.149803e+05  -0.041916 2015-07-24 00:00:00-04:00 2015-07-27 00:00:00-04:00   3 days 00:00:00
6  -152186       707      722  107.384798  104.230003  4.801157e+05   0.029378 2015-10-22 00:00:00-04:00 2015-11-12 00:00:00-05:00  21 days 01:00:00
7   161076       722      742  104.438463  100.060803 -7.051360e+05  -0.041916 2015-11-12 00:00:00-05:00 2015-12-11 00:00:00-05:00  29 days 00:00:00
8   165828       836      837   97.194000   93.120000 -6.755833e+05  -0.041916 2016-04-28 00:00:00-04:00 2016-04-29 00:00:00-04:00   1 days 00:00:00
9   174709       837      842   88.386419   84.681599 -6.472654e+05  -0.041916 2016-04-29 00:00:00-04:00 2016-05-06 00:00:00-04:00   7 days 00:00:00
10  182172       897      921   81.212103   77.808003 -6.201317e+05  -0.041916 2016-07-26 00:00:00-04:00 2016-08-29 00:00:00-04:00  34 days 00:00:00
11 -173672       936      968   81.616439   71.966399  1.675942e+06   0.118236 2016-09-20 00:00:00-04:00 2016-11-03 00:00:00-04:00  44 days 00:00:00
12 -202398       972     1033   78.313061   67.269997  2.235094e+06   0.141012 2016-11-09 00:00:00-05:00 2017-02-08 00:00:00-05:00  91 days 00:00:00
13 -268471      1125     1126   67.365000   70.200000 -7.611153e+05  -0.042084 2017-06-21 00:00:00-04:00 2017-06-22 00:00:00-04:00   1 days 00:00:00
14  213692      1194     1214   81.071824   77.673604 -7.261725e+05  -0.041916 2017-09-28 00:00:00-04:00 2017-10-26 00:00:00-04:00  28 days 00:00:00
15 -219181      1245     1266   75.728237   78.915197 -6.985211e+05  -0.042084 2017-12-11 00:00:00-05:00 2018-01-11 00:00:00-05:00  31 days 00:00:00
16 -226913      1364     1381   70.069579   68.639999  3.243902e+05   0.020402 2018-06-04 00:00:00-04:00 2018-06-27 00:00:00-04:00  23 days 00:00:00
17  235893      1381     1388   68.777279   76.876799  1.910620e+06   0.117764 2018-06-27 00:00:00-04:00 2018-07-09 00:00:00-04:00  12 days 00:00:00
18  241829      1415     1431   74.989676   71.846396 -7.601362e+05  -0.041916 2018-08-15 00:00:00-04:00 2018-09-07 00:00:00-04:00  23 days 00:00:00
19  239171      1455     1464   72.645000   69.600000 -7.282757e+05  -0.041916 2018-10-11 00:00:00-04:00 2018-10-24 00:00:00-04:00  13 days 00:00:00
20  259701      1610     1700   64.097941   61.411201 -6.977491e+05  -0.041916 2019-05-28 00:00:00-04:00 2019-10-03 00:00:00-04:00 128 days 00:00:00
21 -240816      1783     1786   66.227281   69.014401 -6.711831e+05  -0.042084 2020-02-03 00:00:00-05:00 2020-02-06 00:00:00-05:00   3 days 00:00:00
22 -254666      2015     2018   59.989781   62.514401 -6.429349e+05  -0.042084 2021-01-04 00:00:00-05:00 2021-01-07 00:00:00-05:00   3 days 00:00:00
23  207372      2277     2281   70.570860   67.612800 -6.134188e+05  -0.041916 2022-01-18 00:00:00-05:00 2022-01-24 00:00:00-05:00   6 days 00:00:00
24  235811      2348     2423   59.458680   66.460800  1.651177e+06   0.117764 2022-04-29 00:00:00-04:00 2022-08-17 00:00:00-04:00 110 days 00:00:00"
