,IBM
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],23.534041715859896
Equity Final [$],20874821.750126317
Equity Peak [$],23941697.82307249
Return [%],60.5755519240486
Buy & Hold Return [%],-27.04902261785125
Return (Ann.) [%],4.808850862008218
Volatility (Ann.) [%],11.117144411702448
Sharpe Ratio,0.4325616978534692
Sortino Ratio,0.7328383646391292
Calmar Ratio,0.15582486271305981
Max. Drawdown [%],-30.860613500833743
Avg. Drawdown [%],-4.425528918731595
Max. Drawdown Duration,1523 days 00:00:00
Avg. Drawdown Duration,138 days 00:00:00
# Trades,70
Win Rate [%],32.857142857142854
Best Trade [%],24.29276624067569
Worst Trade [%],-4.790987151902792
Avg. Trade [%],0.6788587977733407
Max. Trade Duration,42 days 00:00:00
Avg. Trade Duration,12 days 00:00:00
Profit Factor,1.5793583391828236
Expectancy [%],0.7840680228182245
SQN,1.2382756737178091
_strategy,RSI3070_ExitATR
_equity_curve,"                                 Equity  DrawdownPct  DrawdownDuration
Date                                                                  
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000               NaT
...                                 ...          ...               ...
2023-01-30 00:00:00-05:00  2.070800e+07     0.135066               NaT
2023-01-31 00:00:00-05:00  2.062075e+07     0.138710               NaT
2023-02-01 00:00:00-05:00  2.067585e+07     0.136408               NaT
2023-02-02 00:00:00-05:00  2.087482e+07     0.128098               NaT
2023-02-03 00:00:00-05:00  2.087482e+07     0.128098 121 days 01:00:00

[2541 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice   ExitPrice            PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0   -64764        45       49  200.725857  203.350677 -169993.856820  -0.013077 2013-03-08 00:00:00-05:00 2013-03-14 00:00:00-04:00  5 days 23:00:00
1    70491        74       84  182.007652  194.971313  913821.451972   0.071226 2013-04-19 00:00:00-04:00 2013-05-03 00:00:00-04:00 14 days 00:00:00
2    75073       123      151  183.070962  179.288422 -283966.649281  -0.020662 2013-06-28 00:00:00-04:00 2013-08-08 00:00:00-04:00 41 days 00:00:00
3    75811       157      164  177.543679  174.880835 -201872.888814  -0.014998 2013-08-16 00:00:00-04:00 2013-08-27 00:00:00-04:00 11 days 00:00:00
4   -71942       177      187  184.286526  177.399612  495458.360507   0.037371 2013-09-16 00:00:00-04:00 2013-09-30 00:00:00-04:00 14 days 00:00:00
..     ...       ...      ...         ...         ...            ...        ...                       ...                       ...              ...
65  190406      2454     2463  119.047618  116.119299 -557569.349912  -0.024598 2022-09-30 00:00:00-04:00 2022-10-13 00:00:00-04:00 13 days 00:00:00
66 -164092      2472     2474  134.739975  138.161631 -561466.460271  -0.025395 2022-10-26 00:00:00-04:00 2022-10-28 00:00:00-04:00  2 days 00:00:00
67 -154181      2481     2484  139.759913  142.920793 -487347.574978  -0.022616 2022-11-08 00:00:00-05:00 2022-11-11 00:00:00-05:00  3 days 00:00:00
68 -143872      2490     2492  146.386633  149.458731 -441988.894264  -0.020986 2022-11-21 00:00:00-05:00 2022-11-23 00:00:00-05:00  2 days 00:00:00
69  153052      2534     2539  134.718897  136.389999  255765.571796   0.012404 2023-01-26 00:00:00-05:00 2023-02-02 00:00:00-05:00  7 days 00:00:00

[70 rows x 10 columns]"
