,^HSI
Start,2013-01-02 00:00:00+08:00
End,2023-02-28 00:00:00+08:00
Duration,3709 days 00:00:00
Exposure Time [%],86.76
Equity Final [$],12708656.227281244
Equity Peak [$],15310756.102652337
Return [%],-2.241105943990427
Buy & Hold Return [%],-15.125445992680467
Return (Ann.) [%],-0.2282125134218771
Volatility (Ann.) [%],17.010033670390452
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-44.74813463289403
Avg. Drawdown [%],-7.111466679142538
Max. Drawdown Duration,2709 days 00:00:00
Avg. Drawdown Duration,282 days 00:00:00
# Trades,106
Win Rate [%],32.075471698113205
Best Trade [%],21.620857979016606
Worst Trade [%],-4.20841683366735
Avg. Trade [%],-0.021335814361811423
Max. Trade Duration,141 days 00:00:00
Avg. Trade Duration,31 days 00:00:00
Profit Factor,1.0554257942918945
Expectancy [%],0.09025481200596393
SQN,-0.05338065605553964
_strategy,ParaSAR_EMACross
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-03 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-04 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-07 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-08 00:00:00+08:00  1.300000e+07     0.000000              NaT
...                                 ...          ...              ...
2023-02-22 00:00:00+08:00  1.243391e+07     0.187897              NaT
2023-02-23 00:00:00+08:00  1.247537e+07     0.185189              NaT
2023-02-24 00:00:00+08:00  1.267060e+07     0.172438              NaT
2023-02-27 00:00:00+08:00  1.270866e+07     0.169952              NaT
2023-02-28 00:00:00+08:00  1.270866e+07     0.169952        2709 days

[2500 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar    EntryPrice     ExitPrice           PnL  ReturnPct                 EntryTime                  ExitTime Duration
0    -560        25       76  23210.415828  22547.710938  3.711147e+05   0.028552 2013-02-06 00:00:00+08:00 2013-04-26 00:00:00+08:00  79 days
1     591        76       97  22592.806359  22554.929688 -2.238511e+04  -0.001676 2013-04-26 00:00:00+08:00 2013-05-29 00:00:00+08:00  33 days
2    -593        97      127  22509.819828  21277.279297  7.308965e+05   0.054756 2013-05-29 00:00:00+08:00 2013-07-12 00:00:00+08:00  44 days
3     660       127      159  21319.833855  21524.650391  1.351789e+05   0.009607 2013-07-12 00:00:00+08:00 2013-08-28 00:00:00+08:00  47 days
4    -661       159      163  21481.601090  22385.636406 -5.975673e+05  -0.042084 2013-08-28 00:00:00+08:00 2013-09-03 00:00:00+08:00   6 days
..    ...       ...      ...           ...           ...           ...        ...                       ...                       ...      ...
101  -407      2282     2313  21165.884180  21123.929688  1.707548e+04   0.001982 2022-04-11 00:00:00+08:00 2022-05-30 00:00:00+08:00  49 days
102   407      2313     2342  21166.177547  20844.740234 -1.308250e+05  -0.015186 2022-05-30 00:00:00+08:00 2022-07-12 00:00:00+08:00  43 days
103  -408      2342     2428  20803.050754  17325.660156  1.418775e+06   0.167158 2022-07-12 00:00:00+08:00 2022-11-11 00:00:00+08:00 122 days
104   571      2428     2489  17360.311477  21113.759766  2.143219e+06   0.216209 2022-11-11 00:00:00+08:00 2023-02-14 00:00:00+08:00  95 days
105  -572      2489     2498  21071.532246  19943.509766  6.452289e+05   0.053533 2023-02-14 00:00:00+08:00 2023-02-27 00:00:00+08:00  13 days

[106 rows x 10 columns]"
