,^HSI
Start,2013-01-02 00:00:00+08:00
End,2023-04-27 00:00:00+08:00
Duration,3767 days 00:00:00
Exposure Time [%],97.71563607719574
Equity Final [$],20105319.87061327
Equity Peak [$],25373364.71695702
Return [%],54.656306697025144
Buy & Hold Return [%],-14.892347634422817
Return (Ann.) [%],4.42273279447436
Volatility (Ann.) [%],20.476593432263783
Sharpe Ratio,0.21598967665713945
Sortino Ratio,0.317569683959661
Calmar Ratio,0.12828993075905057
Max. Drawdown [%],-34.474512288738964
Avg. Drawdown [%],-4.401799863685686
Max. Drawdown Duration,1508 days 00:00:00
Avg. Drawdown Duration,100 days 00:00:00
# Trades,49
Win Rate [%],69.38775510204081
Best Trade [%],15.215184091744316
Worst Trade [%],-23.140456041851532
Avg. Trade [%],0.8941004167491773
Max. Trade Duration,248 days 00:00:00
Avg. Trade Duration,76 days 00:00:00
Profit Factor,1.4418884299061492
Expectancy [%],1.2601318660100673
SQN,0.6864276141850263
_strategy,MACDcross_RSI
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
Date                                                                 
2013-01-02 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-03 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-04 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-07 00:00:00+08:00  1.300000e+07     0.000000              NaT
2013-01-08 00:00:00+08:00  1.300000e+07     0.000000              NaT
...                                 ...          ...              ...
2023-04-21 00:00:00+08:00  1.980374e+07     0.219507              NaT
2023-04-24 00:00:00+08:00  1.991339e+07     0.215185              NaT
2023-04-25 00:00:00+08:00  2.023732e+07     0.202419              NaT
2023-04-26 00:00:00+08:00  2.010532e+07     0.207621              NaT
2023-04-27 00:00:00+08:00  2.010532e+07     0.207621         178 days

[2539 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar    EntryPrice  ...  ReturnPct                 EntryTime                  ExitTime Duration
0   -579        57       65  22419.890672  ...   0.014212 2013-03-27 00:00:00+08:00 2013-04-11 00:00:00+08:00  15 days
1   -597        65      119  22057.066992  ...   0.063400 2013-04-11 00:00:00+08:00 2013-07-02 00:00:00+08:00  82 days
2   -679       119      179  20617.333090  ...  -0.121630 2013-07-02 00:00:00+08:00 2013-09-26 00:00:00+08:00  86 days
3    531       179      228  23171.279355  ...   0.024678 2013-09-26 00:00:00+08:00 2013-12-06 00:00:00+08:00  71 days
4    530       228      302  23790.585809  ...  -0.082223 2013-12-06 00:00:00+08:00 2014-03-27 00:00:00+08:00 111 days
5   -531       302      355  21790.780320  ...  -0.064835 2014-03-27 00:00:00+08:00 2014-06-17 00:00:00+08:00  82 days
6    465       355      377  23249.997023  ...   0.008808 2014-06-17 00:00:00+08:00 2014-07-18 00:00:00+08:00  31 days
7    465       377      392  23501.698641  ...   0.035304 2014-07-18 00:00:00+08:00 2014-08-08 00:00:00+08:00  21 days
8    464       392      402  24380.072977  ...   0.030031 2014-08-08 00:00:00+08:00 2014-08-22 00:00:00+08:00  14 days
9    463       402      440  25162.454930  ...  -0.083147 2014-08-22 00:00:00+08:00 2014-10-20 00:00:00+08:00  59 days
10  -464       440      513  23024.119246  ...  -0.066481 2014-10-20 00:00:00+08:00 2015-02-03 00:00:00+08:00 106 days
11   405       513      570  24603.888855  ...   0.143437 2015-02-03 00:00:00+08:00 2015-04-30 00:00:00+08:00  86 days
12   404       570      623  28189.266000  ...  -0.098406 2015-04-30 00:00:00+08:00 2015-07-17 00:00:00+08:00  78 days
13  -405       623      633  25364.438992  ...   0.028708 2015-07-17 00:00:00+08:00 2015-07-31 00:00:00+08:00  14 days
14  -430       633      636  24587.006738  ...   0.002963 2015-07-31 00:00:00+08:00 2015-08-05 00:00:00+08:00   5 days
15  -433       636      731  24465.131836  ...   0.107709 2015-08-05 00:00:00+08:00 2015-12-22 00:00:00+08:00 139 days
16  -539       731      756  21786.359492  ...   0.118906 2015-12-22 00:00:00+08:00 2016-01-28 00:00:00+08:00  37 days
17  -686       756      797  19157.438418  ...  -0.070024 2016-01-28 00:00:00+08:00 2016-04-01 00:00:00+08:00  64 days
18   595       797      815  20539.917762  ...   0.041291 2016-04-01 00:00:00+08:00 2016-04-28 00:00:00+08:00  27 days
19   594       815      880  21430.805355  ...   0.014386 2016-04-28 00:00:00+08:00 2016-08-03 00:00:00+08:00  97 days
20   592       880      895  21782.597379  ...   0.047661 2016-08-03 00:00:00+08:00 2016-08-24 00:00:00+08:00  21 days
21   591       895     1020  22866.420855  ...   0.046296 2016-08-24 00:00:00+08:00 2017-02-27 00:00:00+08:00 187 days
22   590      1020     1043  23972.900883  ...   0.013690 2017-02-27 00:00:00+08:00 2017-03-30 00:00:00+08:00  31 days
23   589      1043     1089  24349.692023  ...   0.055785 2017-03-30 00:00:00+08:00 2017-06-12 00:00:00+08:00  74 days
24   588      1089     1149  25759.455141  ...   0.076939 2017-06-12 00:00:00+08:00 2017-09-05 00:00:00+08:00  85 days
25   586      1149     1162  27796.832309  ...   0.003011 2017-09-05 00:00:00+08:00 2017-09-22 00:00:00+08:00  17 days
26   585      1162     1180  27936.290355  ...   0.019722 2017-09-22 00:00:00+08:00 2017-10-20 00:00:00+08:00  28 days
27   584      1180     1250  28544.214715  ...   0.152152 2017-10-20 00:00:00+08:00 2018-01-31 00:00:00+08:00 103 days
28   583      1250     1357  32953.044070  ...  -0.135715 2018-01-31 00:00:00+08:00 2018-07-12 00:00:00+08:00 162 days
29  -584      1357     1434  28423.868418  ...   0.105822 2018-07-12 00:00:00+08:00 2018-11-01 00:00:00+08:00 112 days
30  -724      1434     1506  25365.168000  ...  -0.112870 2018-11-01 00:00:00+08:00 2019-02-19 00:00:00+08:00 110 days
31   576      1506     1512  28284.587121  ...   0.016718 2019-02-19 00:00:00+08:00 2019-02-27 00:00:00+08:00   8 days
32   575      1512     1528  28814.954332  ...   0.008905 2019-02-27 00:00:00+08:00 2019-03-21 00:00:00+08:00  22 days
33   573      1528     1547  29129.703668  ...   0.028615 2019-03-21 00:00:00+08:00 2019-04-18 00:00:00+08:00  28 days
34   572      1547     1629  30023.186285  ...  -0.126291 2019-04-18 00:00:00+08:00 2019-08-20 00:00:00+08:00 124 days
35  -574      1629     1779  26179.075984  ...   0.107977 2019-08-20 00:00:00+08:00 2020-03-26 00:00:00+08:00 219 days
36  -714      1779     1852  23305.635164  ...  -0.093366 2020-03-26 00:00:00+08:00 2020-07-15 00:00:00+08:00 111 days
37   591      1852     1926  25532.543238  ...  -0.042007 2020-07-15 00:00:00+08:00 2020-11-02 00:00:00+08:00 110 days
38   590      1926     1946  24508.929785  ...   0.074771 2020-11-02 00:00:00+08:00 2020-11-30 00:00:00+08:00  28 days
39   588      1946     2114  26394.173215  ...  -0.007179 2020-11-30 00:00:00+08:00 2021-08-05 00:00:00+08:00 248 days
40  -590      2114     2128  26152.280074  ...   0.017525 2021-08-05 00:00:00+08:00 2021-08-25 00:00:00+08:00  20 days
41  -612      2128     2212  25642.561320  ...   0.092113 2021-08-25 00:00:00+08:00 2021-12-28 00:00:00+08:00 125 days
42  -738      2212     2365  23233.999426  ...   0.131634 2021-12-28 00:00:00+08:00 2022-08-12 00:00:00+08:00 227 days
43  -963      2365     2402  20135.267902  ...   0.105443 2022-08-12 00:00:00+08:00 2022-10-06 00:00:00+08:00  55 days
44 -1193      2402     2421  17976.126090  ...   0.119545 2022-10-06 00:00:00+08:00 2022-11-02 00:00:00+08:00  27 days
45 -1520      2421     2453  15795.515582  ...  -0.231405 2022-11-02 00:00:00+08:00 2022-12-16 00:00:00+08:00  44 days
46   947      2453     2479  19489.571262  ...   0.120719 2022-12-16 00:00:00+08:00 2023-01-31 00:00:00+08:00  46 days
47   945      2479     2504  21886.014738  ...  -0.061753 2023-01-31 00:00:00+08:00 2023-03-07 00:00:00+08:00  35 days
48  -947      2504     2537  20493.411508  ...   0.035921 2023-03-07 00:00:00+08:00 2023-04-26 00:00:00+08:00  50 days

[49 rows x 10 columns]"
