,UHS
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],47.57969303423849
Equity Final [$],7167028.631420413
Equity Peak [$],15113019.36063658
Return [%],-44.86901052753529
Buy & Hold Return [%],198.67178056699962
Return (Ann.) [%],-5.7343858810514075
Volatility (Ann.) [%],18.07806096237102
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-55.43808832919728
Avg. Drawdown [%],-17.84547882558817
Max. Drawdown Duration,1999 days 00:00:00
Avg. Drawdown Duration,604 days 00:00:00
# Trades,73
Win Rate [%],21.91780821917808
Best Trade [%],13.148175066230328
Worst Trade [%],-4.20841683366735
Avg. Trade [%],-0.8123877257178891
Max. Trade Duration,104 days 00:00:00
Avg. Trade Duration,23 days 00:00:00
Profit Factor,0.8153470809408109
Expectancy [%],-0.5982698006482666
SQN,-1.0844754514668353
_strategy,MeanReversion
_equity_curve,"                                 Equity  DrawdownPct   DrawdownDuration
Date                                                                   
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000                NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000                NaT
...                                 ...          ...                ...
2023-01-30 00:00:00-05:00  7.424115e+06     0.508760                NaT
2023-01-31 00:00:00-05:00  7.275326e+06     0.518605                NaT
2023-02-01 00:00:00-05:00  7.057754e+06     0.533002                NaT
2023-02-02 00:00:00-05:00  7.167029e+06     0.525771                NaT
2023-02-03 00:00:00-05:00  7.167029e+06     0.525771 1561 days 01:00:00

[2541 rows x 3 columns]"
_trades,"      Size  EntryBar  ExitBar  EntryPrice   ExitPrice            PnL  ReturnPct                 EntryTime                  ExitTime         Duration
0  -224161        26       46   57.993781   60.434401 -547091.825566  -0.042084 2013-02-08 00:00:00-05:00 2013-03-11 00:00:00-04:00 30 days 23:00:00
1  -195455        57       61   63.712320   66.393600 -524069.583653  -0.042084 2013-03-26 00:00:00-04:00 2013-04-02 00:00:00-04:00  7 days 00:00:00
2  -184512        79       80   64.650439   67.371199 -502012.859660  -0.042084 2013-04-26 00:00:00-04:00 2013-04-29 00:00:00-04:00  3 days 00:00:00
3  -165889        91      152   68.881957   71.780797 -480885.645371  -0.042084 2013-05-14 00:00:00-04:00 2013-08-09 00:00:00-04:00 87 days 00:00:00
4  -146257       187      191   74.840018   77.989598 -460648.108938  -0.042084 2013-09-30 00:00:00-04:00 2013-10-04 00:00:00-04:00  4 days 00:00:00
..     ...       ...      ...         ...         ...            ...        ...                       ...                       ...              ...
68  -69659      2440     2448  105.927719   93.403199  872445.533663   0.118236 2022-09-12 00:00:00-04:00 2022-09-22 00:00:00-04:00 10 days 00:00:00
69  -75595      2472     2473  109.151263  113.744803 -347248.665020  -0.042084 2022-10-26 00:00:00-04:00 2022-10-27 00:00:00-04:00  1 days 00:00:00
70  -65023      2483     2485  121.556403  126.672003 -332631.667134  -0.042084 2022-11-10 00:00:00-05:00 2022-11-14 00:00:00-05:00  4 days 00:00:00
71  -57158      2493     2511  132.464536  138.039196 -318636.406023  -0.042084 2022-11-25 00:00:00-05:00 2022-12-21 00:00:00-05:00 26 days 00:00:00
72  -48783      2520     2539  148.672061  150.429993  -85757.170292  -0.011824 2023-01-05 00:00:00-05:00 2023-02-02 00:00:00-05:00 28 days 00:00:00

[73 rows x 10 columns]"
