,HST
Start,2013-01-02 00:00:00-05:00
End,2023-02-03 00:00:00-05:00
Duration,3684 days 00:00:00
Exposure Time [%],10.979929161747345
Equity Final [$],11957313.074152594
Equity Peak [$],18547351.020273387
Return [%],-8.020668660364658
Buy & Hold Return [%],18.15365809155463
Return (Ann.) [%],-0.8257253290830158
Volatility (Ann.) [%],9.818988259493032
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-35.530884916759696
Avg. Drawdown [%],-5.792599112771667
Max. Drawdown Duration,915 days 00:00:00
Avg. Drawdown Duration,129 days 00:00:00
# Trades,24
Win Rate [%],33.33333333333333
Best Trade [%],7.743153322562746
Worst Trade [%],-5.872401939618754
Avg. Trade [%],-0.3477532781478332
Max. Trade Duration,44 days 00:00:00
Avg. Trade Duration,16 days 00:00:00
Profit Factor,0.8834217128017745
Expectancy [%],-0.253067125992297
SQN,-0.33233916427945076
_strategy,Mean_Reversion_box3_4
_equity_curve,"                                 Equity  DrawdownPct  DrawdownDuration
Date                                                                  
2013-01-02 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-03 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-04 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-07 00:00:00-05:00  1.300000e+07     0.000000               NaT
2013-01-08 00:00:00-05:00  1.300000e+07     0.000000               NaT
...                                 ...          ...               ...
2023-01-30 00:00:00-05:00  1.195731e+07     0.355309               NaT
2023-01-31 00:00:00-05:00  1.195731e+07     0.355309               NaT
2023-02-01 00:00:00-05:00  1.195731e+07     0.355309               NaT
2023-02-02 00:00:00-05:00  1.195731e+07     0.355309               NaT
2023-02-03 00:00:00-05:00  1.195731e+07     0.355309 914 days 01:00:00

[2541 rows x 3 columns]"
