Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-07-30,91.85249971026994,92.29296191378216,91.57721083307479,91.86036682128906,536100,0.0,0
2013-07-31,92.0255360782353,93.31546618934964,91.78170965505126,91.91542053222656,886900,0.0,0
2013-08-01,92.88284892981689,93.73231670887203,92.70981453113187,93.6929931640625,645900,0.0,0
2013-08-02,93.4412996740661,93.90535710840321,93.13454842065944,93.6929931640625,815000,0.0,0
2013-08-05,93.31547089872525,93.94470776554296,92.88286980268214,93.48064422607422,515500,0.0,0
2013-08-06,93.43342252155077,93.43342252155077,92.71766567330825,93.01655578613281,551300,0.0,0
2013-08-07,92.67836791647423,92.94578966987844,91.86822954477103,92.31655883789062,1192900,0.0,0
2013-08-08,92.68623061423877,93.38625945316349,92.04913266069232,92.81208038330078,433800,0.0,0
2013-08-09,92.61543800259373,92.99298128195782,92.10418385379009,92.5525131225586,587500,0.0,0
2013-08-12,92.23002433595136,92.8671221798894,91.87607642199426,92.67048645019531,532300,0.0,0
2013-08-13,92.75701050851796,92.75701050851796,91.95473933837695,92.32440948486328,512300,0.0,0
2013-08-14,92.36375547785178,92.63904435971614,91.96261682093656,92.35588836669922,550400,0.0,0
2013-08-15,91.89182165470075,92.29295427074585,91.5614750294235,91.82102966308594,623600,0.0,0
2013-08-16,91.63226340170125,92.51319375951613,91.58507273996287,91.8446273803711,614800,0.0,0
2013-08-19,91.89183541889535,91.97835564335809,91.15248295561308,91.28619384765625,570900,0.0,0
2013-08-20,91.34122797841225,92.24575354489103,91.18392179330564,91.79742431640625,398700,0.0,0
2013-08-21,91.41202424754385,92.03339390928245,90.69626726980879,91.41989135742188,650200,0.0,0
2013-08-22,91.56934594106714,93.74807368091062,91.55361771949518,93.40199279785156,658700,0.0,0
2013-08-23,93.92108123137025,93.92894233897947,92.56035950928674,93.01655578613281,562600,0.0,0
2013-08-26,92.92219037386256,93.54356006954066,92.65476863186908,93.23680877685547,804600,0.0,0
2013-08-27,92.28507654715857,92.42665450405298,89.94904325882364,89.98837280273438,1078200,0.0,0
2013-08-28,89.89400147631065,90.57829605640644,89.67377039329506,90.05130767822266,593700,0.0,0
2013-08-29,89.77431613255851,90.54986659411718,89.42610635272969,90.06712341308594,396800,0.7,0
2013-08-30,90.46281618217546,90.47073168764804,88.98293666016788,89.69517517089844,511100,0.0,0
2013-09-03,90.50239231595344,91.5074442031282,89.38654145976166,90.3520278930664,996800,0.0,0
2013-09-04,90.30455757690846,91.63407894643343,90.30455757690846,91.42040252685547,759000,0.0,0
2013-09-05,91.36500881144556,92.18804644958136,91.28587185422847,91.72904968261719,489800,0.0,0
2013-09-06,91.27004725064349,91.72113455016219,89.51317901954023,90.9930648803711,559900,0.0,0
2013-09-09,91.01679673121072,91.2225515937477,89.37072160434127,89.53691101074219,1461400,0.0,0
2013-09-10,90.01965808041199,90.24915947169795,89.2599324598253,89.54483032226562,1139400,0.0,0
2013-09-11,89.5685706907562,89.81389705730504,88.65848063343667,89.14913940429688,768500,0.0,0
