Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-31,16.80729470173693,16.843920719635666,16.70474464589991,16.788982391357422,1084200,0.0,0.0
2013-02-01,16.821946554262706,16.968447844165816,16.77433342547322,16.931821823120117,1146000,0.0,0.0
2013-02-04,16.84758148950059,16.902519814083075,16.767005652683512,16.77799415588379,702600,0.0,0.0
2013-02-05,16.78532050730127,16.90984477687998,16.78532050730127,16.83659553527832,949000,0.0,0.0
2013-02-06,16.78532073125189,16.902521195945905,16.74869471282267,16.88787078857422,1356600,0.0,0.0
2013-02-07,16.88420595567498,16.9904193037697,16.851243240650394,16.957456588745117,457000,0.0,0.0
2013-02-08,16.95013316683749,17.00140819623266,16.884207729860904,16.986759185791016,496000,0.0,0.0
2013-02-11,16.997747704855865,17.067335050938315,16.93914746680225,17.034372329711914,530200,0.0,0.0
2013-02-12,17.008732927551662,17.15157230179295,17.008732927551662,17.08198356628418,643600,0.0,0.0
2013-02-13,17.096636663527168,17.15523690430569,17.012398904729295,17.070999145507812,874600,0.0,0.0
2013-02-14,17.041699744412984,17.257788412226024,16.942811567908027,17.213838577270508,1191800,0.0,0.0
2013-02-15,17.276096034552026,17.279759334801675,17.114945752059544,17.191858291625977,1364200,0.0,0.0
2013-02-19,17.18453405586778,17.587411880493164,17.18453405586778,17.587411880493164,1558200,0.0,0.0
2013-02-20,17.554450470136963,17.635026320494003,17.415274382376584,17.41893768310547,947000,0.0,0.0
2013-02-21,17.411609588303136,17.466546515857566,17.338358954424265,17.426259994506836,1102400,0.0,0.0
2013-02-22,17.470211476749174,17.57276153564453,17.45556106915276,17.57276153564453,808800,0.0,0.0
2013-02-25,17.60206135984169,17.68263580280609,17.334697723388672,17.334697723388672,1015600,0.0,0.0
2013-02-26,17.345686307571256,17.484862389478405,17.228485837693597,17.367660522460938,1042200,0.0,0.0
2013-02-27,17.367662666940973,17.536139585690204,17.334701340536537,17.514163970947266,692800,0.0,0.0
2013-02-28,17.49218261519623,17.5764217454932,17.393295874158007,17.46654510498047,1141400,0.0,0.0
2013-03-01,17.415272905992246,17.49218544910012,17.246797412382687,17.473873138427734,1647800,0.0,0.0
2013-03-04,17.415273919336457,17.598399830995387,17.404286811721665,17.56177520751953,696800,0.0,0.0
2013-03-05,17.609386957516616,17.748561633543947,17.53979822236323,17.69728660583496,961600,0.0,0.0
2013-03-06,17.72659038300444,17.77420211832688,17.613051804714097,17.67531394958496,817600,0.0,0.0
2013-03-07,17.708273070428604,17.722923476996964,17.470210250821303,17.481197357177734,1077400,0.0,0.0
2013-03-08,17.572763468125984,17.697289152110084,17.40428795365924,17.66798973083496,1317000,0.0,0.0
2013-03-11,17.62769949187203,17.75588706277378,17.62769949187203,17.74856185913086,671800,0.0,0.0
2013-03-12,17.71193701293459,17.74123642999413,17.576424240112306,17.69728660583496,662400,0.0,0.0
2013-03-13,17.686300721794147,17.82181350398489,17.646012798054784,17.788850784301758,703400,0.0,0.0
2013-03-14,17.807162271886607,17.887738115636875,17.76321244672271,17.86210060119629,721000,0.0,0.0
2013-03-15,17.814487475603883,17.89506331935415,17.76321244672271,17.86210060119629,956400,0.0,0.0
2013-03-18,17.744899137033503,17.865761498715088,17.722923527118816,17.82181167602539,629000,0.0,0.0
2013-03-19,17.81814977294278,17.898724215017282,17.7705366500308,17.82181167602539,1012600,0.0,0.0
2013-03-20,17.895063498703898,18.030576275982245,17.854775576424988,17.97563934326172,749600,0.0,0.0
2013-03-21,17.898724318775034,17.97563825535246,17.85477449583056,17.902387619018555,554400,0.0,0.0
2013-03-22,17.91703328429152,18.030571819273664,17.82547035524962,18.004934310913086,787600,0.0,0.0
2013-03-25,18.05255492430956,18.133129385282544,17.8767541951776,17.939016342163086,529000,0.0,0.0
2013-03-26,17.990288577149258,18.107489044976436,17.971976266014973,18.026914596557617,504200,0.0,0.0
2013-03-27,17.979302672169496,18.092841244218036,17.887739713235476,18.070865631103516,549000,0.0,0.0
2013-03-28,18.074521830482656,18.396823735412557,18.067198025562387,18.378511428833008,918200,0.0,0.0
2013-04-01,18.3382253707743,18.378513287607625,18.144112386547818,18.283287048339844,645200,0.0,0.0
2013-04-02,18.323573772193605,18.39682439829061,18.206373329294184,18.286949157714844,574400,0.0,0.0
2013-04-03,18.33455837439507,18.404145685958934,18.10748134208083,18.19171905517578,1045200,0.0,0.0
2013-04-04,18.221023077397913,18.385836630892715,18.169748060119403,18.378511428833008,751200,0.0,0.0
