Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-31,12.30071139034205,12.377141281722857,12.219785522112973,12.291719436645508,2192200,0.0,0.0
2013-02-01,12.372647402435945,12.444581329163592,12.264746512344475,12.359159469604492,2548600,0.0,0.0
2013-02-04,12.916648587834993,13.334765097404553,12.916648587834993,13.02454948425293,7076200,0.0,0.0
2013-02-05,13.038038492477822,13.2313612693971,12.997575545796105,13.208881378173828,1876000,0.0,0.0
2013-02-06,13.181903635212198,13.258333534496307,13.087490684195354,13.231358528137207,1608000,0.0,0.0
2013-02-07,13.231358946262308,13.258333953473846,13.123458059896134,13.168416976928711,764200,0.0,0.0
2013-02-08,13.208880438136175,13.217872393985552,13.047029520447934,13.06950855255127,1227000,0.0,0.0
2013-02-11,13.047030139786212,13.109972118679469,12.979592182754846,13.096484184265137,1113600,0.0,0.0
2013-02-12,13.07850008544844,13.181905001811883,13.069508129889858,13.132450103759766,1262000,0.0,0.0
2013-02-13,13.172911115044553,13.249341011047363,13.127953058882863,13.249341011047363,1212800,0.0,0.0
2013-02-14,13.186396792137334,13.298793628366775,13.12795081460674,13.136941909790039,1007400,0.0,0.0
2013-02-15,13.118963889072822,13.258335779298903,13.1054759548496,13.204385757446289,989800,0.0,0.0
2013-02-19,13.240351405967806,13.3797232823144,13.186400531967806,13.348252296447754,1996400,0.0,0.0
2013-02-20,13.316783141005187,13.339262174708288,13.19989027920469,13.208881378173828,1421200,0.0,0.0
2013-02-21,13.208877291490785,13.303291090377577,13.096480442709305,13.177406311035156,1068200,0.0,0.0
2013-02-22,13.195392249932228,13.33926010131836,13.154929309539876,13.33926010131836,1024800,0.0,0.0
2013-02-25,13.442663728024522,13.442663728024522,13.105473161982838,13.109969139099121,2211400,0.0,0.0
2013-02-26,13.226863440713249,13.325772375697762,13.163921469134017,13.28980541229248,1891200,0.0,0.0
2013-02-27,13.298797160926005,13.388714996802355,13.22686323523294,13.33926010131836,1599400,0.0,0.0
2013-02-28,13.352749213857653,13.694434962332403,13.316782247832936,13.487625122070312,2647000,0.0,0.0
2013-03-01,13.433673592756481,13.478632512486952,13.312285624260301,13.402202606201172,1948000,0.0,0.0
2013-03-04,13.397703842671513,13.492117640225906,13.352745789809306,13.483125686645508,1113800,0.0,0.0
2013-03-05,13.505606367396654,13.698928235661409,13.483126482119397,13.694432258605957,1484600,0.0,0.0
2013-03-06,13.725906139812896,13.757377126362629,13.528087407545911,13.577542304992676,803400,0.0,0.0
2013-03-07,13.546071530493055,13.591030453765427,13.501113464740822,13.564055442810059,734400,0.0,0.0
2013-03-08,13.600020797125001,13.83380648440105,13.510102961243433,13.793343544006348,2021400,0.0,0.0
2013-03-11,13.757378721548822,13.878767561618764,13.730403709595558,13.802337646484375,970800,0.0,0.0
2013-03-12,13.802336664167372,13.802336664167372,13.698930886918975,13.743889808654785,891400,0.0,0.0
2013-03-13,13.779859759842605,13.78885171764183,13.712421791389012,13.766372680664062,653000,0.0,0.0
2013-03-14,13.788847566460266,13.838302461947132,13.730401573401272,13.793343544006348,758000,0.0,0.0
2013-03-15,13.770862193515336,13.824813060817545,13.694432298390506,13.75287914276123,1452800,0.0,0.0
2013-03-18,13.63149192720812,14.099063306726311,13.63149192720812,13.97767448425293,2218600,0.0,0.0
2013-03-19,13.955194495482736,14.054103423194746,13.775358834159105,13.838301658630371,963800,0.0,0.0
2013-03-20,13.887754796574725,13.950697616979873,13.79783782924155,13.883258819580078,1574400,0.0,0.0
2013-03-21,13.874269926495106,14.01364180538325,13.797840020488048,13.97317886352539,1823600,0.0,0.0
2013-03-22,14.022631336331258,14.188978195190431,14.000151451674668,14.18897819519043,1574600,0.0,0.0
2013-03-25,14.238432968686917,14.238432968686917,14.103557091918569,14.202466011047363,1500000,0.0,0.0
2013-03-26,14.265409178613371,14.355327009074363,14.215955143627811,14.350831031799316,1593200,0.0,0.0
2013-03-27,14.364319320618922,14.368814440485703,14.25192245850929,14.346335411071777,964000,0.0,0.0
2013-03-28,14.377806430839579,14.422766204818698,14.22045065199269,14.40478229522705,1154000,0.0,0.0
2013-04-01,14.337344617959731,14.382303537950314,14.224947746743315,14.296881675720215,1303400,0.0,0.0
2013-04-02,14.3733106226174,14.400285629802363,14.126037865461862,14.157508850097656,1329600,0.0,0.0
2013-04-03,14.202467884258214,14.206963861746136,13.842798260424651,13.865277290344238,2692000,0.0,0.0
2013-04-04,14.139526159212295,14.139526159212295,13.784351649198817,13.874269485473633,3617400,0.0,0.0
2013-04-05,13.748383080085457,13.80233394705173,13.613507198949682,13.788846015930176,2496600,0.0,0.0
2013-04-08,13.797840593405095,13.824815603257042,13.698930794747788,13.77985668182373,2345800,0.0,0.0
2013-04-09,13.842796912593327,13.892250945105237,13.739391155479463,13.811325073242188,1348800,0.0,0.0
2013-04-10,13.793345690888977,14.162007331848145,13.788849712643112,14.162007331848145,2688200,0.0,0.0
2013-04-11,14.193477589452927,14.467726245654116,14.117047678258503,14.310370445251465,2492000,0.0,0.0
2013-04-12,13.98666747282063,14.215957201926555,13.982171494894619,14.081080436706543,2095600,0.0,0.0
2013-04-15,14.036118750519076,14.036118750519076,13.770862107768107,13.788846015930176,2918400,0.0,0.0
2013-04-16,14.355325876157442,14.499193707525047,13.487622053511672,13.910234451293945,5899400,0.0,0.0
2013-04-17,13.892252534355219,13.892252534355219,13.63149183825478,13.698929786682129,3319800,0.0,0.0
2013-04-18,13.71691447829731,13.793344386207329,13.609013583163183,13.631492614746094,1289800,0.0,0.0
2013-04-19,13.68544164310372,13.739391654625773,13.523589893497613,13.712416648864746,1285200,0.0,0.0
2013-04-22,13.703426361083983,13.784352245729453,13.613509378437966,13.703426361083984,1260000,0.0,0.0
2013-04-23,13.793341099510938,13.869770989209135,13.573043383914927,13.613506317138672,2125400,0.0,0.0
2013-04-24,13.667457310122924,13.770862210264657,13.595523391979116,13.635986328125,2066200,0.0,0.0
2013-04-25,13.694433514561192,13.878765160660505,13.667458507274473,13.784351348876953,1220200,0.0,0.0
2013-04-26,13.802336372102463,13.802336372102463,13.662963631918641,13.689939498901367,697200,0.0,0.0
2013-04-29,13.721506342519348,13.856782103044958,13.694451362426687,13.843255043029785,3465600,0.045,0.0
2013-04-30,13.825213509006275,14.023618641351272,13.820704203718657,13.974017143249512,2501800,0.0,0.0
2013-05-01,13.955980287581895,14.055182420207796,13.87932382053306,13.892850875854492,1080400,0.0,0.0
